t_ms,hand_ax,hand_ay,hand_az,hand_gx,hand_gy,hand_gz,thumb_ax,thumb_ay,thumb_az,thumb_gx,thumb_gy,thumb_gz,index_ax,index_ay,index_az,index_gx,index_gy,index_gz,middle_ax,middle_ay,middle_az,middle_gx,middle_gy,middle_gz,ring_ax,ring_ay,ring_az,ring_gx,ring_gy,ring_gz,pinky_ax,pinky_ay,pinky_az,pinky_gx,pinky_gy,pinky_gz
98570,0.1145,-0.1036,-0.9803,0.1984,-1.9531,-0.9155,-2.6279,-3.9252,0.0470,246.0938,14.7095,-11.7340,-0.9800,-0.0002,-0.0133,-0.6866,-328.8269,-21.8811,0.0470,1.9688,0.1178,-7.8583,-122.7875,-0.0916,-0.0131,-0.0055,-2.6531,446.8842,5.8899,246.0938,0.1166,-0.0946,-0.9819,-0.1678,-1.7700,-0.5035
99049,0.1171,-0.0941,-0.9807,-0.1068,-1.7395,-0.6104,-2.6260,3.0753,0.0472,246.0938,14.8621,-11.6577,-0.9799,-0.0007,-0.0151,-0.5951,-328.8269,-142.9138,0.0472,1.9688,0.1179,-11.6577,-122.4213,-0.3357,-0.0137,-0.0049,-2.6555,321.9452,5.9204,246.0938,0.1167,-0.0941,-0.9797,-0.2289,-1.7090,-0.5798
99530,0.1185,-0.0934,-0.9812,-0.1068,-1.6785,-0.6104,-2.6284,2.0758,0.0475,246.0938,14.6332,-11.7798,-0.9802,-0.0011,-0.0129,-0.5646,-328.3081,-271.7590,0.0475,1.9688,0.1177,-11.8103,-122.6349,-0.1984,-0.0135,-0.0050,-2.6257,197.0062,5.9509,246.0938,0.1166,-0.0945,-0.9768,-0.2899,-1.8768,-0.5646
100010,0.1167,-0.0925,-0.9805,-0.2289,-1.7090,-0.5493,-2.6543,1.0763,0.0477,246.0938,14.6332,-11.6272,-0.9813,-0.0010,-0.0133,-0.5493,-328.4302,-396.6980,0.0477,1.9688,0.1182,-12.1002,-122.6196,-0.2136,-0.0126,-0.0045,-2.6255,75.9735,5.9814,246.0938,0.1161,-0.0948,-0.9811,-0.0916,-1.6785,-0.5951
100490,0.1182,-0.0906,-0.9816,-0.0916,-1.4801,-0.2899,-2.6543,0.0768,0.0480,246.0938,14.4806,-11.9019,-0.9855,0.0000,-0.0137,-0.5646,-332.0313,478.3630,0.0480,1.9688,0.1161,-11.7493,-122.5586,-0.0458,-0.0146,-0.0042,-2.6299,-52.8717,5.9967,246.0938,0.1163,-0.0955,-0.9794,-0.1678,-1.6937,-0.6256
100970,0.1158,-0.0942,-0.9797,-0.1526,-1.6479,-0.4883,-2.6555,-0.9540,0.0481,246.0938,14.6484,-11.9324,-0.9803,-0.0002,-0.0146,-0.5951,-331.5430,353.4241,0.0482,1.9688,0.1168,-11.7340,-122.7722,-0.0763,-0.0142,-0.0050,-2.6272,-173.9044,6.0272,246.0938,0.1161,-0.0964,-0.9807,-0.1068,-1.6785,-0.6409
101450,0.1176,-0.0924,-0.9816,-0.0458,-1.7395,-0.6409,-2.6533,-1.9222,0.0483,246.0938,14.6637,-11.8103,-0.9817,-0.0018,-0.0133,-0.5493,-328.3997,228.4851,0.0485,1.9688,0.1160,-11.8866,-122.4670,-0.1221,-0.0135,-0.0048,-2.6555,-302.7496,6.0577,246.0938,0.1173,-0.0930,-0.9796,-0.1373,-1.7090,-0.5646
101930,0.1173,-0.0951,-0.9797,-0.2289,-1.7853,-0.5798,-2.6255,-2.9218,0.0486,246.0938,14.5264,-11.8713,-0.9806,-0.0009,-0.0133,-0.5493,-331.6040,103.5461,0.0487,1.9688,0.1177,-11.7798,-122.5433,-0.0153,-0.0132,-0.0049,-2.6558,-423.7823,6.0883,246.0938,0.1158,-0.0936,-0.9796,-0.0763,-1.6937,-0.5646
102411,0.1166,-0.0956,-0.9799,-0.1678,-1.7548,-0.4730,-2.6284,-3.9213,0.0488,246.0938,14.5416,-11.9476,-0.9799,-0.0009,-0.0140,-0.6409,-328.3081,-21.3928,0.0488,1.9688,0.1162,-11.7950,-122.7722,-0.0458,-0.0135,-0.0048,-2.6548,447.3724,6.1188,246.0938,0.1169,-0.0929,-0.9810,-0.2899,-1.7548,-0.5646
102890,0.1174,-0.0948,-0.9800,-0.1221,-1.6937,-0.5951,-2.6553,3.0792,0.0491,246.0938,14.5721,-11.7645,-0.9812,-0.0007,-0.0137,-0.5035,-328.3386,-150.2380,0.0491,1.9688,0.1171,-11.8713,-122.5586,-0.1068,-0.0132,-0.0050,-2.6267,322.4335,6.1493,246.0938,0.1174,-0.0948,-0.9806,-0.1984,-1.8005,-0.6714
