t_ms,hand_ax,hand_ay,hand_az,hand_gx,hand_gy,hand_gz,thumb_ax,thumb_ay,thumb_az,thumb_gx,thumb_gy,thumb_gz,index_ax,index_ay,index_az,index_gx,index_gy,index_gz,middle_ax,middle_ay,middle_az,middle_gx,middle_gy,middle_gz,ring_ax,ring_ay,ring_az,ring_gx,ring_gy,ring_gz,pinky_ax,pinky_ay,pinky_az,pinky_gx,pinky_gy,pinky_gz
147051,0.1179,-0.0916,-0.9813,-0.2136,-1.7853,-0.5798,-2.6335,-0.8759,0.0701,246.0938,14.5721,-12.0087,-0.9808,-0.0013,-0.0139,-0.7019,-331.3599,359.2834,0.0702,1.9688,0.1174,-11.7493,-122.5739,0.0000,-0.0122,-0.0042,-2.6294,-171.9513,8.7738,246.0938,0.1172,-0.0629,-0.9818,-0.1373,-1.7090,-0.5951
147531,0.1167,-0.0958,-0.9795,-0.0153,-1.7700,-0.5646,-2.6509,-1.8754,0.0703,246.0938,14.7247,-11.1694,-0.9799,-0.0016,-0.0135,-0.5493,-328.5217,234.3445,0.0704,1.9688,0.1146,-11.8713,-124.0692,-0.2136,-0.0115,-0.0055,-2.6533,-296.8903,8.8043,246.0938,0.1166,-0.0963,-0.9824,-0.1526,-1.8768,-0.5493
148011,0.1188,-0.0846,-0.9824,-1.5259,-1.3275,-0.7629,-2.6270,-2.9061,0.0706,246.0938,14.8315,-13.2294,-0.9806,-0.0020,-0.0137,-0.5646,-331.5430,105.4993,0.0707,1.9688,0.1154,-15.5945,-122.0093,-0.5951,-0.0146,-0.0051,-2.6270,-425.7355,8.8348,246.0938,0.1147,-0.0968,-0.9961,0.0153,-2.0599,-0.6714
148491,0.1165,-0.0957,-0.9785,-0.1678,-2.1362,-0.4730,-2.6265,-3.9056,0.0708,246.0938,14.6942,-11.7798,-0.9777,-0.0010,-0.0135,-0.5951,-328.3997,-19.4397,0.0708,1.9688,0.1165,-11.8256,-122.8027,-0.1526,-0.0132,-0.0045,-2.6252,449.3256,8.8654,246.0938,0.1163,-0.0947,-0.9802,-0.0458,-1.8311,-0.5646
148971,0.1176,-0.0938,-0.9799,-0.1068,-1.6937,-0.5646,-2.6555,3.0948,0.0710,246.0938,14.5721,-11.6577,-0.9808,-0.0017,-0.0150,-0.5188,-328.2166,-144.3787,0.0710,1.9688,0.1167,-11.7798,-122.6044,-0.1221,-0.0134,-0.0050,-2.6270,324.3866,8.8959,246.0938,0.1172,-0.0945,-0.9806,-0.1526,-1.7548,-0.6104
149451,0.1176,-0.0957,-0.9799,-0.1068,-1.7395,-0.5035,-2.6533,2.0953,0.0713,246.0938,14.5874,-11.8408,-0.9817,-0.0010,-0.0135,-0.5646,-328.5828,-269.3176,0.0713,1.9688,0.1183,-11.5204,-122.3450,-0.1373,-0.0135,-0.0039,-2.6279,199.4476,8.9264,246.0938,0.1169,-0.0945,-0.9797,-0.1373,-1.6937,-0.5646
149931,0.1180,-0.0939,-0.9803,-0.0763,-1.6785,-0.5646,-2.6563,1.0958,0.0715,246.0938,14.5874,-11.8713,-0.9794,-0.0009,-0.0139,-0.5951,-331.9702,-394.2566,0.0715,1.9688,0.1171,-11.8713,-122.4976,-0.1526,-0.0142,-0.0054,-2.6536,74.5087,8.9569,246.0938,0.1180,-0.0936,-0.9806,0.0763,-1.6937,-0.6104
150411,0.1166,-0.0953,-0.9800,-0.1373,-1.7090,-0.6256,-2.6560,0.0963,0.0718,246.0938,14.7095,-11.7340,-0.9805,-0.0004,-0.0139,-0.5493,-328.4302,480.8044,0.0718,1.9688,0.1174,-11.6119,-122.5739,-0.1984,-0.0129,-0.0048,-2.6279,-50.4303,8.9722,246.0938,0.1165,-0.0940,-0.9790,-0.1678,-1.7700,-0.6104
150891,0.1173,-0.0939,-0.9796,-0.2136,-1.6174,-0.5188,-2.6255,-0.9032,0.0719,246.0938,14.6484,-11.6119,-0.9813,-0.0004,-0.0144,-0.5493,-328.7354,355.8655,0.0720,1.9688,0.1173,-11.7035,-122.5128,-0.1984,-0.0137,-0.0049,-2.6553,-175.3693,9.0027,246.0938,0.1169,-0.0942,-0.9790,-0.1068,-1.7548,-0.5646
151371,0.1154,-0.0940,-0.9807,-0.1678,-1.7090,-0.5035,-2.6252,-1.9027,0.0721,246.0938,14.7858,-11.8866,-0.9786,-0.0021,-0.0133,-0.6409,-331.9702,230.9265,0.0723,1.9688,0.1169,-11.6730,-122.6654,-0.1068,-0.0139,-0.0051,-2.6277,-300.3082,9.0332,246.0938,0.1174,-0.0959,-0.9796,-0.2136,-1.6327,-0.6104
