# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# units: accel g, gyro deg/s
millis,sensor_id,ax,ay,az,gx,gy,gz
# calib_start hold_still_ms=10000
1694,4,0.9907,-0.0530,0.3809,-9.34,11.57,78.26
1694,5,1.2256,0.1089,0.1843,0.06,-1.98,79.80
1705,0,0.0747,-0.0793,0.9912,-5.74,-79.29,12.32
1705,1,1.0107,-0.0371,0.2439,2.29,5.15,83.59
1705,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1705,3,1.0261,-0.0281,0.3242,-6.58,8.46,82.43
1705,4,0.9858,-0.0461,0.3511,-12.02,9.59,80.85
1705,5,1.2341,0.1201,0.1707,-2.63,-4.46,82.29
1714,0,0.0731,-0.0772,1.0083,-3.92,-81.85,11.10
1714,1,1.0154,-0.0227,0.2180,1.22,4.14,85.83
1714,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1714,3,1.0176,0.0100,0.2927,-7.08,8.27,84.82
1714,4,0.9788,-0.0134,0.3230,-12.52,9.47,83.28
1714,5,1.2236,0.1453,0.1641,-2.98,-4.20,84.53
1725,0,0.0550,-0.0769,1.0148,-4.30,-83.93,11.60
1725,1,1.0320,-0.0374,0.1843,1.80,6.32,87.69
1725,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1725,3,1.0188,-0.0244,0.2451,-7.37,11.04,86.31
1725,4,0.9944,-0.0496,0.2886,-12.87,12.81,84.63
1725,5,1.2410,0.1064,0.0969,-2.96,-0.85,86.05
1736,0,0.0866,-0.0229,1.0202,-8.26,-85.52,11.29
1736,1,1.0549,-0.0664,0.1465,0.52,10.93,89.69
1736,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
