,-0.60308,-0.00606,-1.03,-74.19,-0.09
13930,0,0.99986,-0.01437,-0.00912,0.00025,-1.65,-1.04,0.04
13930,1,0.76218,-0.01213,-0.64718,-0.01001,-1.96,-80.67,0.16
13930,2,0.78380,-0.03201,-0.61968,-0.02508,-4.75,-76.66,0.09
13930,3,0.78446,0.01895,-0.61973,0.01407,3.04,-76.62,-0.35
13930,4,0.79747,-0.00755,-0.60328,-0.00610,-0.98,-74.21,-0.13
13930,5,0.67400,0.35684,-0.57191,0.30218,56.04,-80.61,-0.29
13942,0,0.99986,-0.01449,-0.00876,0.00026,-1.66,-1.00,0.04
13942,1,0.76214,-0.01238,-0.64722,-0.00979,-2.20,-80.68,0.39
13942,2,0.78396,-0.03214,-0.61947,-0.02499,-4.82,-76.63,0.16
13942,3,0.78450,0.01868,-0.61968,0.01428,2.87,-76.61,-0.18
13942,4,0.79736,-0.00733,-0.60343,-0.00626,-0.87,-74.24,-0.24
13942,5,0.67385,0.35694,-0.57206,0.30211,56.19,-80.62,-0.44
13953,0,0.99986,-0.01434,-0.00911,0.00026,-1.64,-1.04,0.04
13953,1,0.76210,-0.01210,-0.64727,-0.01003,-1.93,-80.68,0.13
13953,2,0.78413,-0.03224,-0.61926,-0.02492,-4.88,-76.60,0.21
13953,3,0.78434,0.01859,-0.61989,0.01433,2.83,-76.64,-0.14
13953,4,0.79750,-0.00716,-0.60325,-0.00638,-0.78,-74.21,-0.33
13953,5,0.67401,0.35683,-0.57189,0.30219,56.02,-80.60,-0.27
13964,0,0.99986,-0.01419,-0.00876,0.00026,-1.63,-1.00,0.04
13964,1,0.76226,-0.01197,-0.64708,-0.01013,-1.81,-80.65,0.01
13964,2,0.78397,-0.03208,-0.61946,-0.02505,-4.78,-76.63,0.11
13964,3,0.78438,0.01830,-0.61983,0.01456,2.64,-76.63,0.04
13964,4,0.79742,-0.00743,-0.60335,-0.00620,-0.92,-74.23,-0.19
13964,5,0.67382,0.35672,-0.57211,0.30232,56.02,-80.64,-0.26
13976,0,0.99986,-0.01404,-0.00912,0.00025,-1.61,-1.04,0.04
13976,1,0.76210,-0.01194,-0.64727,-0.01015,-1.79,-80.68,-0.01
13976,2,0.78409,-0.03231,-0.61931,-0.02487,-4.92,-76.60,0.25
13976,3,0.78445,0.01857,-0.61975,0.01435,2.81,-76.62,-0.12
13976,4,0.79755,-0.00764,-0.60318,-0.00604,-1.03,-74.20,-0.09
13976,5,0.67376,0.35693,-0.57217,0.30210,56.23,-80.63,-0.48
13988,0,0.99986,-0.01435,-0.00890,0.00027,-1.64,-1.02,0.05
13988,1,0.76194,-0.01209,-0.64746,-0.01003,-1.93,-80.71,0.13
13988,2,0.78411,-0.03258,-0.61928,-0.02464,-5.09,-76.60,0.42
13988,3,0.78428,0.01859,-0.61996,0.01433,2.83,-76.65,-0.14
13988,4,0.79769,-0.00774,-0.60299,-0.00597,-1.08,-74.17,-0.04
13988,5,0.67390,0.35681,-0.57201,0.30222,56.06,-80.62,-0.30
14000,0,0.99986,-0.01409,-0.00913,0.00027,-1.61,-1.05,0.05
14000,1,0.76184,-0.01186,-0.64758,-0.01023,-1.71,-80.73,-0.08
14000,2,0.78412,-0.03227,-0.61928,-0.02487,-4.90,-76.60,0.24
14000,3,0.78414,0.01876,-0.62014,0.01420,2.94,-76.68,-0.25
14000,4,0.79785,-0.00769,-0.60277,-0.00601,-1.05,-74.14,-0.07
14000,5,0.67394,0.35656,-0.57202,0.30243,55.85,-80.64,-0.10
14011,0,0.99986,-0.01379,-0.00939,0.00026,-1.58,-1.08,0.05
14011,1,0.76168,-0.01171,-0.64777,-0.01037,-1.57,-80.76,-0.22
14011,2,0.78398,-0.03209,-0.61945,-0.02502,-4.79,-76.63,0.13
14011,3,0.78420,0.01847,-0.62007,0.01441,2.76,-76.67,-0.07
14011,4,0.79799,-0.00753,-0.60260,-0.00614,-0.97,-74.12,-0.15
14011,5,0.67378,0.35669,-0.57218,0.30231,56.03,-80.65,-0.28
14023,0,0.99987,-0.01346,-0.00920,0.00027,-1.54,-1.05,0.05
14023,1,0.76184,-0.01168,-0.64758,-0.01040,-1.54,-80.73,-0.25
14023,2,0.78415,-0.03202,-0.61923,-0.02507,-4.74,-76.59,0.08
14023,3,0.78432,0.01829,-0.61992,0.01455,2.64,-76.64,0.04
14023,4,0.79783,-0.00768,-0.60280,-0.00605,-1.04,-74.15,-0.08
14023,5,0.67368,0.35691,-0.57225,0.30215,56.24,-80.65,-0.49
14034,0,0.99986,-0.01385,-0.00927,0.00027,-1.59,-1.06,0.05
14034,1,0.76202,-0.01180,-0.64737,-0.01032,-1.64,-80.70,-0.16
14034,2,0.78404,-0.03179,-0.61939,-0.02523,-4.61,-76.62,-0.05
14034,3,0.78449,0.01838,-0.61970,0.01449,2.69,-76.61,-0.01
14034,4,0.79789,-0.00738,-0.60272,-0.00627,-0.89,-74.13,-0.23
14034,5,0.67353,0.35703,-0.57241,0.30204,56.41,-80.66,-0.66
14045,0,0.99986,-0.01387,-0.00887,0.00028,-1.59,-1.02,0.05
14045,1,0.76208,-0.01206,-0.64729,-0.01009,-1.89,-80.69,0.09
14045,2,0.78386,-0.03166,-0.61961,-0.02532,-4.54,-76.65,-0.11
14045,3,0.78435,0.01824,-0.61988,0.01460,2.61,-76.64,0.07
14045,4,0.79782,-0.00709,-0.60282,-0.00648,-0.73,-74.15,-0.38
14045,5,0.67362,0.35680,-0.57234,0.30225,56.18,-80.67,-0.43
14057,0,0.99986,-0.01420,-0.00906,0.00028,-1.63,-1.04,0.05
14057,1,0.76226,-0.01196,-0.64708,-0.01015,-1.80,-80.66,0.00
14057,2,0.78402,-0.03172,-0.61941,-0.02527,-4.57,-76.62,-0.08
14057,3,0.78446,0.01800,-0.61974,0.01477,2.46,-76.62,0.22
14057,4,0.79767,-0.00717,-0.60302,-0.00642,-0.78,-74.18,-0.33
14057,5,0.67373,0.35662,-0.57224,0.30241,55.98,-80.67,-0.23
14069,0,0.99985,-0.01431,-0.00939,0.00027,-1.64,-1.08,0.05
14069,1,0.76230,-0.01225,-0.64703,-0.00991,-2.07,-80.65,0.26
14069,2,0.78384,-0.03177,-0.61963,-0.02522,-4.61,-76.65,-0.04
14069,3,0.78451,0.01829,-0.61968,0.01454,2.64,-76.61,0.04
14069,4,0.79757,-0.00693,-0.60315,-0.00659,-0.65,-74.20,-0.45
14069,5,0.67386,0.35643,-0.57213,0.30256,55.78,-80.66,-0.03
14081,0,0.99986,-0.01393,-0.00946,0.00027,-1.60,-1.08,0.05
14081,1,0.76216,-0.01205,-0.64720,-0.01006,-1.89,-80.67,0.09
14081,2,0.78368,-0.03181,-0.61984,-0.02519,-4.64,-76.68,-0.01
