# Cheirograph Phase 2 - single MPU-6050 (direct I2C, no mux), bench capture
# Sketch: firmware/02_single_mpu6050_test/diagnostics/accel_raw/accel_raw.ino
# Library: MPU6050_light (rfetick). Units: g. Loop delay 10 ms (~100 Hz).
# The sensor was picked up and rotated freely by hand; at rest aZ sits near 1.0
# (gravity), which is the quick sanity check that calibration + axes are right.
ax,ay,az
-0.88,0.87,1.31
-0.90,0.91,1.30
-0.92,0.94,1.26
-0.97,0.97,1.21
-0.99,0.99,1.24
-0.99,1.02,1.26
-1.00,1.03,1.24
-0.99,1.05,1.26
-0.97,1.05,1.31
-0.91,1.05,1.37
-0.93,1.04,1.31
-0.94,1.06,1.31
-0.89,1.06,1.29
-0.83,1.08,1.29
-0.77,1.07,1.31
-0.72,1.06,1.33
-0.66,1.00,1.35
-0.67,0.91,1.36
-0.61,0.78,1.39
-0.53,0.60,1.27
-0.51,0.49,1.22
-0.51,0.33,1.28
-0.45,0.13,1.27
-0.39,-0.01,1.24
-0.32,-0.13,1.25
-0.26,-0.18,1.22
-0.23,-0.07,1.20
-0.22,-0.08,1.15
-0.21,-0.12,1.11
-0.14,-0.20,1.06
-0.03,-0.24,1.10
0.08,-0.18,1.23
0.17,-0.22,1.12
0.20,-0.15,1.06
0.22,-0.13,1.11
0.13,-0.06,1.10
0.12,-0.08,1.08
0.06,-0.11,0.99
0.01,-0.10,1.03
-0.02,-0.09,1.10
-0.03,-0.11,1.12
0.01,-0.18,1.19
0.08,-0.20,1.26
0.13,-0.19,1.32
0.15,-0.19,1.37
0.17,-0.21,1.35
0.24,-0.17,1.39
0.21,-0.22,1.34
0.24,-0.23,1.23
0.24,-0.14,1.10
0.15,-0.33,0.69
0.05,-0.12,0.58
0.03,0.03,0.67
-0.02,0.07,0.94
-0.08,-0.01,1.16
-0.08,-0.06,1.24
-0.10,0.02,1.29
-0.21,0.02,1.25
-0.15,-0.04,1.18
-0.10,-0.09,0.91
0.21,-0.13,0.89
-0.03,0.03,0.72
-0.07,-0.02,0.67
-0.17,-0.05,0.63
-0.20,0.00,0.56
-0.18,-0.02,0.49
-0.20,0.01,0.59
-0.32,0.02,0.62
-0.46,0.03,0.44
-0.59,0.08,0.38
-0.65,0.04,0.35
-0.73,0.00,0.34
-0.87,-0.03,0.25
-0.98,-0.04,0.12
-0.98,-0.05,0.06
-0.93,-0.01,0.04
-0.95,0.01,0.04
-0.99,-0.00,0.06
-1.04,-0.02,0.05
-1.13,-0.05,0.13
-1.24,-0.01,0.23
-1.45,-0.03,0.21
-1.63,0.01,0.26
-1.78,0.01,0.14
-1.87,-0.02,-0.03
-1.85,0.02,0.00
-1.74,0.01,0.11
-1.65,-0.03,0.20
-1.62,-0.03,0.24
-1.70,-0.04,0.25
-1.73,-0.04,0.25
-1.74,-0.05,0.27
-1.72,-0.06,0.30
-1.71,-0.08,0.28
-1.69,-0.07,0.29
-1.67,-0.05,0.26
-1.70,-0.04,0.19
-1.68,-0.04,0.16
-1.66,-0.04,0.14
-1.66,-0.03,0.11
-1.65,-0.05,0.04
-1.60,-0.07,0.02
-1.54,-0.04,0.00
-1.45,-0.01,0.00
-1.33,0.03,0.10
-1.08,0.07,0.19
-0.73,-0.01,0.33
-0.52,-0.02,0.41
-0.53,0.00,0.43
-0.49,0.02,0.40
-0.50,0.04,0.35
-0.51,0.03,0.27
-0.57,0.04,0.17
-0.57,0.09,0.16
-0.82,0.06,0.36
-0.57,-0.18,0.42
-0.30,-0.15,0.61
-0.23,-0.14,0.90
-0.11,-0.05,1.02
0.40,-0.06,1.23
0.75,-0.05,1.39
0.20,0.06,1.16
0.01,-0.07,0.97
-0.12,-0.04,0.73
-0.10,-0.05,0.79
-0.07,-0.08,0.88
-0.13,-0.04,1.05
-0.17,-0.08,1.16
-0.12,0.02,1.03
-0.12,0.05,1.06
-0.11,0.12,1.06
-0.04,0.12,1.13
-0.04,0.09,1.20
-0.05,-0.01,1.28
-0.04,0.02,1.41
-0.01,0.03,1.47
-0.04,0.01,1.52
0.07,-0.01,1.63
-0.01,-0.05,1.56
-0.01,-0.06,1.60
-0.01,-0.08,1.59
0.02,-0.07,1.61
0.02,-0.06,1.62
0.02,-0.07,1.58
0.03,-0.07,1.57
0.05,-0.03,1.51
0.03,-0.05,1.47
-0.01,-0.08,1.45
-0.06,-0.10,1.46
-0.06,-0.13,1.47
-0.07,-0.15,1.49
