# Cheirograph Phase 2 - single MPU-6050 (direct I2C, no mux), bench capture
# Sketch: firmware/02_single_mpu6050_test/diagnostics/gyro_raw/gyro_raw.ino
# Library: MPU6050_light (rfetick). Units: deg/s. Loop delay 10 ms (~100 Hz).
# The sensor was rotated and shaken freely by hand; rates swing to ~+/-240 deg/s
# on the fast flicks and settle near a small constant bias (~2-3 deg/s) when held
# still, which is the leftover the Madgwick filter will have to lean on later.
gx,gy,gz
42.78,85.16,161.23
40.61,97.11,175.28
35.04,107.16,192.88
28.35,115.02,209.75
18.92,111.10,226.01
10.09,96.98,237.90
3.44,71.11,243.95
0.98,39.22,240.96
1.65,13.68,221.93
2.02,-2.89,189.45
1.31,-12.64,143.81
0.70,-25.79,104.18
-0.29,-45.69,67.58
-4.07,-66.79,36.26
-9.53,-78.43,11.87
-14.09,-86.64,-5.76
-18.36,-96.59,-17.59
-24.70,-117.77,-23.70
-29.43,-144.43,-26.95
-35.63,-181.77,-37.64
-40.64,-215.18,-56.84
-43.60,-237.56,-80.57
-42.76,-217.47,-112.91
-38.27,-179.18,-142.95
-30.49,-163.45,-161.38
-22.00,-166.70,-166.58
-13.80,-184.55,-163.50
-8.29,-209.19,-162.49
-6.62,-228.69,-165.79
-8.76,-234.29,-179.27
-13.75,-231.95,-198.05
-15.51,-192.37,-214.45
-18.03,-165.85,-216.49
-24.38,-170.14,-202.02
-32.78,-193.74,-179.44
-42.84,-207.71,-154.33
-50.32,-201.50,-130.14
-55.69,-181.63,-104.17
-55.57,-143.48,-89.41
-48.04,-102.43,-84.13
-38.96,-66.76,-83.29
-32.29,-28.44,-82.37
-28.56,14.23,-79.13
-26.40,46.58,-72.77
-27.13,68.37,-60.92
-30.87,82.08,-45.18
-35.20,88.44,-27.01
-39.77,86.60,-6.43
-41.48,86.23,14.88
-39.85,86.73,34.19
-38.90,95.31,52.77
-37.78,118.06,67.46
-35.36,136.67,81.48
-32.01,156.87,94.77
-30.94,169.34,112.56
-33.95,167.63,130.80
-36.72,156.60,146.12
-37.48,146.20,156.07
-38.00,133.39,160.30
-37.05,125.59,159.57
-36.55,122.38,156.41
-36.99,126.31,151.13
-39.10,139.56,145.72
-41.89,160.55,142.80
-46.11,180.75,143.31
-50.38,181.30,150.36
-50.41,158.66,160.38
-50.11,130.53,167.87
-52.52,115.63,166.13
-56.36,109.08,152.85
-59.56,102.96,127.86
-60.33,101.92,96.99
-60.29,106.50,69.09
-60.76,110.15,51.52
-62.07,95.51,44.90
-63.56,58.61,48.90
-65.04,14.52,55.23
-65.66,-18.35,55.97
-63.17,-40.26,47.08
-57.25,-55.51,33.38
-49.16,-67.27,19.48
-39.95,-67.94,8.13
-27.28,-63.97,-4.36
-11.37,-53.48,-17.62
3.13,-43.60,-28.75
16.76,-51.27,-33.03
27.18,-74.78,-34.97
30.41,-94.75,-39.23
26.34,-106.70,-45.94
19.64,-115.97,-55.01
11.76,-129.98,-61.91
4.38,-144.06,-63.90
-3.37,-166.15,-60.55
-11.98,-189.22,-55.91
-18.43,-207.60,-55.29
-20.85,-218.41,-60.22
-19.89,-227.88,-67.87
-18.24,-225.19,-79.03
-14.62,-210.12,-90.97
-9.89,-191.82,-106.43
-2.84,-180.32,-119.68
2.49,-169.11,-128.48
8.23,-170.50,-135.81
13.73,-169.60,-139.90
17.39,-153.95,-145.06
